Tiempo(s),Lectura_ADC,Voltaje(V)
1.00,4095,3.300
1.50,4095,3.300
2.00,4094,3.299
2.50,4095,3.300
3.00,4095,3.300
3.50,3679,2.965
4.00,3280,2.643
4.50,3093,2.493
5.00,2931,2.362
5.50,2779,2.239
6.00,2611,2.104
6.50,2470,1.990
7.00,2300,1.853
7.50,2163,1.743
8.00,2029,1.635
8.50,1914,1.542
9.00,1840,1.483
9.50,1763,1.421
10.00,1653,1.332
10.50,1607,1.295
11.00,1558,1.256
11.50,1471,1.185
12.00,1423,1.147
12.50,1367,1.102
13.00,1324,1.067
13.50,1243,1.002
14.00,1197,0.965
14.50,1117,0.900
15.00,1072,0.864
15.50,1010,0.814
16.00,944,0.761
16.50,868,0.699
17.00,787,0.634
17.50,706,0.569
18.00,612,0.493
18.50,533,0.430
19.00,442,0.356
19.50,342,0.276
20.00,273,0.220
20.50,196,0.158
21.00,78,0.063
21.50,10,0.008
22.00,0,0.000
22.50,0,0.000
23.00,0,0.000
23.50,263,0.212
24.00,326,0.263
24.50,403,0.325
25.00,490,0.395
25.50,565,0.455
26.00,637,0.513
26.50,718,0.579
27.00,783,0.631
27.50,833,0.671
28.00,891,0.718
28.50,944,0.761
29.00,995,0.802
29.50,1058,0.853
30.00,1105,0.890
30.50,1168,0.941
31.00,1233,0.994
31.50,1299,1.047
32.00,1390,1.120
32.50,1457,1.174
33.00,1535,1.237
33.50,1679,1.353
34.00,1831,1.476
34.50,1920,1.547
35.00,2007,1.617
35.50,2093,1.687
36.00,2186,1.762
36.50,2279,1.837
37.00,2367,1.907
37.50,2471,1.991
38.00,2559,2.062
38.50,2683,2.162
39.00,2781,2.241
39.50,2882,2.322
40.00,2995,2.414
40.50,3133,2.525
41.00,3283,2.646
41.50,3451,2.781
42.00,3657,2.947
42.50,3811,3.071
43.00,4032,3.249
43.50,4095,3.300
44.00,4095,3.300
44.50,3819,3.078
45.00,3583,2.887
45.50,3459,2.787
46.00,3294,2.655
46.50,3170,2.555
47.00,3018,2.432
47.50,2923,2.356
48.00,2800,2.256
48.50,2643,2.130
49.00,2542,2.048
49.50,2425,1.954
50.00,2325,1.874
50.50,2314,1.865
51.00,2254,1.816
51.50,2150,1.733
52.00,2149,1.732
52.50,2145,1.729
53.00,2135,1.721
53.50,2058,1.658
54.00,1954,1.575
54.50,1930,1.555
55.00,1797,1.448
55.50,1535,1.237
56.00,1422,1.146
56.50,1387,1.118
57.00,1391,1.121
57.50,1385,1.116
58.00,1392,1.122
58.50,1394,1.123
59.00,1399,1.127
59.50,1392,1.122
60.00,1393,1.123
60.50,1376,1.109
61.00,1227,0.989
61.50,1147,0.924
62.00,1072,0.864
62.50,951,0.766
63.00,861,0.694
63.50,752,0.606
64.00,658,0.530
64.50,560,0.451
65.00,451,0.363
65.50,362,0.292
66.00,269,0.217
66.50,214,0.172
67.00,86,0.069
67.50,0,0.000
68.00,256,0.206
68.50,414,0.334
69.00,529,0.426
69.50,578,0.466
70.00,625,0.504
70.50,672,0.542
71.00,717,0.578
71.50,777,0.626
72.00,830,0.669
72.50,896,0.722
73.00,912,0.735
73.50,983,0.792
74.00,1062,0.856
74.50,1136,0.915
75.00,1234,0.994
75.50,1346,1.085
76.00,1458,1.175
76.50,1587,1.279
77.00,1686,1.359
77.50,1803,1.453
78.00,1906,1.536
78.50,2041,1.645
79.00,2111,1.701
79.50,2248,1.812
80.00,2370,1.910
80.50,2485,2.003
81.00,2608,2.102
81.50,2739,2.207
82.00,2862,2.306
82.50,2994,2.413
83.00,3178,2.561
83.50,3323,2.678
84.00,3558,2.867
84.50,3695,2.978
85.00,3905,3.147
85.50,4095,3.300
86.00,4015,3.236
86.50,3581,2.886
87.00,3330,2.684
87.50,3189,2.570
88.00,3070,2.474
88.50,2971,2.394
89.00,2896,2.334
89.50,2804,2.260
90.00,2693,2.170
90.50,2608,2.102
91.00,2507,2.020
91.50,2422,1.952
92.00,2347,1.891
92.50,2260,1.821
93.00,2146,1.729
93.50,2071,1.669
94.00,1988,1.602
94.50,1917,1.545
95.00,1839,1.482
95.50,1749,1.409
96.00,1687,1.359
96.50,1635,1.318
97.00,1587,1.279
97.50,1517,1.222
98.00,1409,1.135
98.50,1325,1.068
99.00,1200,0.967
99.50,1095,0.882
100.00,1008,0.812
