Tiempo(s),Lectura_ADC,Voltaje(V)
2.50,1420,1.144
3.00,1413,1.139
3.50,1680,1.354
4.00,2041,1.645
4.50,2186,1.762
5.00,2477,1.996
5.50,2832,2.282
6.00,3065,2.470
6.50,3354,2.703
7.00,3727,3.003
7.50,4095,3.300
8.00,4095,3.300
8.50,3533,2.847
9.00,3231,2.604
9.50,2957,2.383
10.00,2731,2.201
10.50,2544,2.050
11.00,2377,1.916
11.50,2237,1.803
12.00,2145,1.729
12.50,2003,1.614
13.00,1903,1.534
13.50,1698,1.368
14.00,1533,1.235
14.50,1420,1.144
15.00,1264,1.019
15.50,1069,0.861
16.00,921,0.742
16.50,740,0.596
17.00,599,0.483
17.50,496,0.400
18.00,396,0.319
18.50,261,0.210
19.00,139,0.112
19.50,14,0.011
20.00,0,0.000
20.50,48,0.039
21.00,200,0.161
21.50,388,0.313
22.00,593,0.478
22.50,835,0.673
23.00,1145,0.923
23.50,1587,1.279
24.00,2015,1.624
24.50,2496,2.011
25.00,2963,2.388
25.50,3440,2.772
26.00,2915,2.349
26.50,2498,2.013
27.00,2288,1.844
27.50,2087,1.682
28.00,1800,1.451
28.50,1525,1.229
29.00,1200,0.967
29.50,968,0.780
30.00,785,0.633
30.50,761,0.613
31.00,755,0.608
31.50,765,0.616
32.00,761,0.613
